PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;851725370590;ap-northeast-1;2025-01-28 16:41:07.168323;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;FAIL;IAM Access Analyzer in account 851725370590 is not enabled.;arn:aws:iam::851725370590:root;accessanalyzer_enabled;False;851725370590
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;851725370590;ap-northeast-1;2025-01-28 16:41:07.168323;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;FAIL;IAM Access Analyzer in account 851725370590 is not enabled.;arn:aws:iam::851725370590:root;accessanalyzer_enabled;False;851725370590
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;851725370590;ap-northeast-1;2025-01-28 16:41:07.168323;Verify that events are present in SecurityHub aggregated view;Confirm the presence of events within the aggregated view of SecurityHub.;IAM Access Analyzer;;;SecurityHub;Automated;FAIL;IAM Access Analyzer in account 851725370590 is not enabled.;arn:aws:iam::851725370590:root;accessanalyzer_enabled;False;851725370590
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;851725370590;ap-northeast-2;2025-01-28 16:41:07.168323;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;FAIL;IAM Access Analyzer in account 851725370590 is not enabled.;arn:aws:iam::851725370590:root;accessanalyzer_enabled;False;851725370590
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;851725370590;ap-northeast-2;2025-01-28 16:41:07.168323;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;FAIL;IAM Access Analyzer in account 851725370590 is not enabled.;arn:aws:iam::851725370590:root;accessanalyzer_enabled;False;851725370590
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;851725370590;ap-northeast-2;2025-01-28 16:41:07.168323;Verify that events are present in SecurityHub aggregated view;Confirm the presence of events within the aggregated view of SecurityHub.;IAM Access Analyzer;;;SecurityHub;Automated;FAIL;IAM Access Analyzer in account 851725370590 is not enabled.;arn:aws:iam::851725370590:root;accessanalyzer_enabled;False;851725370590
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;851725370590;ap-northeast-3;2025-01-28 16:41:07.168323;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;FAIL;IAM Access Analyzer in account 851725370590 is not enabled.;arn:aws:iam::851725370590:root;accessanalyzer_enabled;False;851725370590
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;851725370590;ap-northeast-3;2025-01-28 16:41:07.168323;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;FAIL;IAM Access Analyzer in account 851725370590 is not enabled.;arn:aws:iam::851725370590:root;accessanalyzer_enabled;False;851725370590
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;851725370590;ap-northeast-3;2025-01-28 16:41:07.168323;Verify that events are present in SecurityHub aggregated view;Confirm the presence of events within the aggregated view of SecurityHub.;IAM Access Analyzer;;;SecurityHub;Automated;FAIL;IAM Access Analyzer in account 851725370590 is not enabled.;arn:aws:iam::851725370590:root;accessanalyzer_enabled;False;851725370590
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;851725370590;ap-south-1;2025-01-28 16:41:07.168323;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;FAIL;IAM Access Analyzer in account 851725370590 is not enabled.;arn:aws:iam::851725370590:root;accessanalyzer_enabled;False;851725370590
